,GeoName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
1000,Alabama,2781,3032,3303,3677,4019,4460,4896,5324,5928,6491,7084,7808,8313,8886,9764,10384,10941,11419,12383,13366,14174,14880,15813,16281,16981,17754,18333,19057,20103,20648,21527,22243,23193,24330,25962
5000,Arkansas,2623,2893,3178,3676,3993,4355,4726,5183,5912,6355,6776,7669,8003,8543,9528,10065,10588,10900,11747,12539,13137,13802,14831,15291,15942,16653,17394,17981,18836,19433,20168,21202,21949,23360,24746
6000,California,4430,4701,5013,5477,5998,6602,7121,7699,8509,9410,10439,11510,12157,12901,14028,14748,15460,16009,17190,17850,18709,19273,20121,20414,20888,21682,22544,23262,24763,25769,27424,28677,29843,31148,32732
8000,Colorado,3800,4160,4452,4923,5396,5939,6385,6904,7733,8548,9590,10700,11417,12352,13341,13941,14406,14732,15671,16688,17460,18130,19052,19891,20694,21883,22858,23760,25540,26610,28739,29944,30322,31014,31909
9000,Connecticut,4485,4764,5050,5537,6024,6547,6974,7678,8441,9398,10598,11767,12646,13799,15399,16298,17318,18491,20591,22273,23005,23226,24644,25270,25923,27096,27794,28981,30870,32285,34766,36660,37949,38568,40352
10000,Delaware,3949,4248,4584,5020,5412,5848,6258,6721,7335,7985,9034,9851,10689,11431,12541,13473,14101,15021,16345,17854,18508,19403,19898,20298,20716,21565,22518,22957,25109,26670,29217,32112,33512,34060,34710
13000,Georgia,3153,3439,3730,4159,4479,4869,5297,5726,6365,6900,7588,8426,9046,9763,10907,11612,12435,13017,14065,14867,15682,16236,17170,17742,18599,19555,20497,21165,22597,23501,24815,25745,26745,27670,28812
16000,Idaho,3336,3541,3938,4408,4983,5288,5719,6048,6722,7159,7925,8504,8922,9755,10310,10842,11160,11658,12622,13615,14399,14756,15651,16613,17204,17968,18628,18968,20140,20843,22016,22738,23788,24375,25803
17000,Illinois,3992,4321,4608,5172,5622,6202,6642,7252,7958,8674,9411,10399,11221,11785,13040,13676,14424,15039,16385,17341,18362,18689,20062,20493,21314,22385,23481,24463,25616,26496,28299,29510,30451,31328,32556
18000,Indiana,3377,3681,3950,4547,4769,5245,5742,6295,6938,7568,8179,8940,9366,9931,11038,11619,12281,12897,13811,14879,15633,16008,17195,17871,18727,19349,20186,20989,22420,23124,24587,25065,25741,26467,27667
19000,Iowa,3493,3676,4039,4881,4920,5562,5815,6395,7387,7843,8346,9467,9892,10232,11606,12135,12735,13289,13744,14890,15601,15921,17003,16902,18390,18978,20594,21335,22207,22651,24173,24942,26001,26683,28871
20000,Kansas,3510,3867,4252,4814,5138,5656,6082,6537,7161,8048,8755,9751,10547,11155,12303,12879,13582,13965,14662,15349,16315,16840,17960,18567,19190,19743,20820,21797,22874,23438,24519,25399,26072,27082,27766
21000,Kentucky,2896,3116,3361,3780,4121,4517,4938,5425,5962,6631,7211,7957,8471,8830,9944,10330,10640,11162,12237,13071,13786,14535,15463,15853,16458,17011,17847,18710,19587,20243,21739,22379,23224,23938,25319
22000,Louisiana,2893,3107,3330,3701,4135,4627,5077,5563,6227,6895,7749,8730,9393,9834,10488,10897,11056,11213,12055,12805,13869,14561,15502,16155,17059,17729,18247,18972,19854,20293,21391,22933,23928,24818,25835
