"LocationAbbr","LocationDesc","Year","Datasource","TopicDesc","MeasureDesc","SubMeasureDesc","Data_Value","Data_Value_Unit","Data_Value_Type","GeoLocation","Source","TopicTypeId","TopicId","MeasureId","SubMeasureID","SubMeasureIdDisplayOrder"
"AL","Alabama","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,569","$","Dollars","    (32.840571122, -86.631860762)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"AL","Alabama","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","87,9",,"Pack","    (32.840571122, -86.631860762)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"AK","Alaska","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","5,03","$","Dollars","    (64.845079957001, -147.722059036)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"AK","Alaska","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","63,6",,"Pack","    (64.845079957001, -147.722059036)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"AZ","Arizona","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","42,5",,"Pack","    (34.86597028, -111.763811277)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"AZ","Arizona","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,967","$","Dollars","    (34.86597028, -111.763811277)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"AR","Arkansas","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,535","$","Dollars","    (34.748650124, -92.274490743)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"AR","Arkansas","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","79,8",,"Pack","    (34.748650124, -92.274490743)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"CA","California","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,841","$","Dollars","    (37.638640123, -120.999999538)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"CA","California","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","33,1",,"Pack","    (37.638640123, -120.999999538)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"CO","Colorado","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,429","$","Dollars","    (38.843840757, -106.133610921)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"CO","Colorado","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","60,7",,"Pack","    (38.843840757, -106.133610921)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"CT","Connecticut","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","4,708","$","Dollars","    (41.56266102, -72.649840952)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"CT","Connecticut","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","53,1",,"Pack","    (41.56266102, -72.649840952)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"DE","Delaware","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","176",,"Pack","    (39.008830667, -75.577741168)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"DE","Delaware","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,411","$","Dollars","    (39.008830667, -75.577741168)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"DC","District of Columbia","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","4,197","$","Dollars","    (38.890371385, -77.031961127)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"DC","District of Columbia","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","38,4",,"Pack","    (38.890371385, -77.031961127)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"FL","Florida","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,247","$","Dollars","    (28.932040377, -81.928960539)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"FL","Florida","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","74,2",,"Pack","    (28.932040377, -81.928960539)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"GA","Georgia","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,362","$","Dollars","    (32.839681093, -83.627580346)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"GA","Georgia","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","68,1",,"Pack","    (32.839681093, -83.627580346)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"HI","Hawaii","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","47,4",,"Pack","    (21.304850435, -157.857749403)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"HI","Hawaii","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","5,044","$","Dollars","    (21.304850435, -157.857749403)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"ID","Idaho","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","60,8",,"Pack","    (43.682630005, -114.363730042)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"ID","Idaho","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,498","$","Dollars","    (43.682630005, -114.363730042)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"IL","Illinois","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","4,353","$","Dollars","    (40.485010283, -88.997710178)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"IL","Illinois","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","60",,"Pack","    (40.485010283, -88.997710178)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"IN","Indiana","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,451","$","Dollars","    (39.766910452, -86.149960194)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"IN","Indiana","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","97,7",,"Pack","    (39.766910452, -86.149960194)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
