State,Beer_Consumption_Per_Capita,GDP_Per_Capita,Cigarette_Packs_Per_Capita_1975,Cigarette_Packs_Per_Capita_1980,Cigarette_Packs_Per_Capita_1988,Average_Cigarette_Price,Percentage_15_24
Alabama,1.086,9664.666666666666,111.7,123.2,112.1,96.2,14.2
Arkansas,1.066,9313.222222222223,114.8,131.8,121.5,97.23333333333332,14.2
California,1.342,13826.888888888889,127.1,120.2,90.1,96.56666666666666,14.2
Colorado,1.474,12905.555555555555,131.0,131.0,94.6,91.0888888888889,14.2
Connecticut,1.1179999999999999,15211.888888888889,110.2,118.0,104.8,111.81111111111113,11.9
Delaware,1.476,12498.444444444445,147.6,150.5,137.1,96.86666666666667,13.7
Georgia,1.196,10762.111111111111,122.9,134.0,124.1,91.37777777777778,14.5
Idaho,1.348,10188.666666666666,123.3,115.2,84.5,94.65555555555557,15.899999999999999
Illinois,1.42,12820.0,131.8,135.2,107.6,97.9111111111111,14.100000000000001
Indiana,1.26,10895.777777777777,162.4,146.9,134.0,88.34444444444443,14.5
Iowa,1.346,11271.777777777777,120.5,124.6,100.2,100.24444444444444,14.7
Kansas,1.156,11955.444444444445,123.4,127.1,103.2,96.47777777777777,14.899999999999999
Kentucky,1.076,9642.444444444445,223.0,215.3,173.2,77.87777777777778,14.2
Louisiana,1.42,10157.222222222223,133.6,143.8,110.9,97.92222222222223,15.5
Maine,1.278,10691.555555555555,140.7,141.2,125.0,101.38888888888889,12.5
Minnesota,1.318,12210.111111111111,111.5,117.7,94.1,106.23333333333333,14.2
Mississippi,1.256,8567.555555555555,116.8,127.0,109.0,96.48888888888888,15.7
Missouri,1.3599999999999999,11348.111111111111,135.6,142.1,127.4,91.3111111111111,14.0
Montana,1.6260000000000001,10301.666666666666,123.7,122.0,87.1,92.95555555555555,14.4
Nebraska,1.424,11707.777777777777,114.1,116.3,92.9,98.35555555555557,14.9
Nevada,2.0119999999999996,13219.888888888889,205.2,177.7,141.9,102.41111111111113,12.9
New Hampshire,1.95,13036.0,269.1,247.8,180.4,91.24444444444444,12.6
New Mexico,1.6800000000000002,10308.888888888889,103.1,102.7,77.7,94.44444444444444,14.7
North Carolina,1.108,10386.333333333334,226.0,187.8,146.0,78.14444444444445,13.9
North Dakota,1.374,10701.777777777777,117.9,123.7,87.1,97.37777777777778,16.200000000000003
Ohio,1.36,11515.666666666666,122.5,133.5,122.4,91.42222222222222,13.600000000000001
Oklahoma,1.048,11014.0,132.9,141.6,103.6,98.31111111111112,15.0
Pennsylvania,1.394,11796.333333333334,114.6,124.0,107.6,96.01111111111112,13.0
Rhode Island,1.388,12255.222222222223,154.7,149.3,138.0,98.53333333333335,14.100000000000001
South Carolina,1.318,9751.777777777777,130.5,138.3,124.4,83.23333333333332,14.4
South Dakota,1.258,10511.111111111111,113.5,114.7,91.9,96.46666666666667,15.3
Tennessee,1.1640000000000001,10282.333333333334,117.4,130.4,125.3,91.97777777777777,13.7
Texas,1.6620000000000001,11665.111111111111,116.0,129.7,96.5,100.6222222222222,15.2
Utah,0.8640000000000001,9682.222222222223,75.8,74.8,55.0,98.14444444444445,19.799999999999997
Vermont,1.538,11010.333333333334,155.5,161.6,128.7,95.88888888888889,13.7
Virginia,1.426,12759.444444444445,152.7,148.9,129.5,81.55555555555556,13.6
West Virginia,1.1320000000000001,9144.666666666666,123.2,122.3,109.1,100.02222222222224,13.5
Wisconsin,1.828,11520.444444444445,113.5,117.6,102.6,103.72222222222223,14.3
Wyoming,1.534,12089.111111111111,160.7,158.1,114.3,88.03333333333333,15.3
