name,year,num,total,sex
ЮРИЙ,1932,4245,187203,М
АЛЕКСАНДРА,1932,4136,187203,Ж
ТАМАРА,1932,4065,187203,Ж
ИВАН,1932,3685,187203,М
ЛЮДМИЛА,1932,3556,187203,Ж
АНТОНИНА,1932,3372,187203,Ж
РАИСА,1932,3162,187203,Ж
ВАСИЛИЙ,1932,2968,187203,М
МИХАИЛ,1932,2949,187203,М
АЛЕКСЕЙ,1932,2946,187203,М
НАДЕЖДА,1932,2928,187203,Ж
ТАТЬЯНА,1932,2872,187203,Ж
ВЕРА,1932,2847,187203,Ж
БОРИС,1932,2819,187203,М
ЕВГЕНИЙ,1932,2403,187203,М
КЛАВДИЯ,1932,2270,187203,Ж
ЗОЯ,1932,2265,187203,Ж
ЕКАТЕРИНА,1932,2191,187203,Ж
ВАЛЕНТИН,1932,1970,187203,М
ЛЮБОВЬ,1932,1889,187203,Ж
СЕРГЕЙ,1932,1800,187203,М
ЕЛЕНА,1932,1527,187203,Ж
ОЛЬГА,1932,1484,187203,Ж
ПЕТР,1932,1426,187203,М
ЕВГЕНИЯ,1932,1237,187203,Ж
ЛЕОНИД,1932,1164,187203,М
ГЕННАДИЙ,1932,1133,187203,М
ИРИНА,1932,1066,187203,Ж
АНАСТАСИЯ,1932,1037,187203,Ж
МАРГАРИТА,1932,972,187203,Ж
НАТАЛЬЯ,1932,957,187203,Ж
ЕВДОКИЯ,1932,947,187203,Ж
ИГОРЬ,1932,885,187203,М
ЛЕВ,1932,883,187203,М
ДМИТРИЙ,1932,821,187203,М
ЮЛИЯ,1932,756,187203,Ж
ПАВЕЛ,1932,746,187203,М
ВЯЧЕСЛАВ,1932,730,187203,М
КОНСТАНТИН,1932,680,187203,М
ЕЛИЗАВЕТА,1932,625,187203,Ж
РИММА,1932,615,187203,Ж
ВИТАЛИЙ,1932,597,187203,М
ОЛЕГ,1932,596,187203,М
ПЕЛАГЕЯ,1932,593,187203,Ж
ТАИСИЯ,1932,572,187203,Ж
ЛАРИСА,1932,568,187203,Ж
СВЕТЛАНА,1932,538,187203,Ж
ГЕОРГИЙ,1932,510,187203,М
ИННА,1932,488,187203,Ж
ГРИГОРИЙ,1932,471,187203,М
РОЗА,1932,468,187203,Ж
ФЕДОР,1932,444,187203,М
ИРАИДА,1932,436,187203,Ж
АНДРЕЙ,1932,426,187203,М
СЕРАФИМА,1932,425,187203,Ж
АЛЛА,1932,424,187203,Ж
ПРАСКОВЬЯ,1932,391,187203,Ж
ВАЛЕРИЙ,1932,368,187203,М
СТАНИСЛАВ,1932,362,187203,М
ВАДИМ,1932,346,187203,М
СОФЬЯ,1932,338,187203,Ж
МАРИНА,1932,333,187203,Ж
АЛЕВТИНА,1932,331,187203,Ж
ФАИНА,1932,294,187203,Ж
ВАРВАРА,1932,287,187203,Ж
ЭДУАРД,1932,283,187203,М
АРКАДИЙ,1932,282,187203,М
НАТАЛИЯ,1932,281,187203,Ж
ЛИЛИЯ,1932,276,187203,Ж
ВЛАДИСЛАВ,1932,250,187203,М
СЕМЕН,1932,237,187203,М
МАЙЯ,1932,236,187203,Ж
АЛЬБЕРТ,1932,233,187203,М
ИЛЬЯ,1932,211,187203,М
ЕГОР,1932,206,187203,М
ГЕРМАН,1932,199,187203,М
НЕЛЛИ,1932,197,187203,Ж
НИНЕЛЬ,1932,184,187203,Ж
ДИНА,1932,175,187203,Ж
ЭММА,1932,164,187203,Ж
КЛАРА,1932,163,187203,Ж
ВАЛЕРИЯ,1932,163,187203,Ж
АЛЬБИНА,1932,161,187203,Ж
ЯКОВ,1932,152,187203,М
КАПИТАЛИНА,1932,134,187203,Ж
ВЕНИАМИН,1932,131,187203,М
СОФИЯ,1932,130,187203,Ж
САНИЯ,1932,129,187203,Ж
ВИКТОРИЯ,1932,124,187203,Ж
СТЕПАН,1932,123,187203,М
ЭЛЬВИРА,1932,120,187203,Ж
КСЕНИЯ,1932,117,187203,Ж
МАРК,1932,116,187203,М
ЭЛЕОНОРА,1932,114,187203,Ж
ПОЛИНА,1932,113,187203,Ж
ФЕЛИКС,1932,113,187203,М
ЭМИЛИЯ,1932,108,187203,Ж
ГЕНРИХ,1932,105,187203,М
КАПИТОЛИНА,1932,105,187203,Ж
ИНЕССА,1932,103,187203,Ж
ВСЕВОЛОД,1932,99,187203,М
РОМАН,1932,96,187203,М
АНГЕЛИНА,1932,90,187203,Ж
КИРА,1932,90,187203,Ж
ЛИЯ,1932,86,187203,Ж
АНФИСА,1932,85,187203,Ж
РАИДА,1932,84,187203,Ж
МАТРЕНА,1932,82,187203,Ж
ИНГА,1932,80,187203,Ж
РОБЕРТ,1932,80,187203,М
ЭЛЬЗА,1932,75,187203,Ж
РУДОЛЬФ,1932,74,187203,М
НОННА,1932,74,187203,Ж
ЕФИМ,1932,74,187203,М
ВЕРОНИКА,1932,72,187203,Ж
ЖАННА,1932,72,187203,Ж
МАЯ,1932,70,187203,Ж
ИОСИФ,1932,69,187203,М
МАРАТ,1932,68,187203,М
ТАИСА,1932,68,187203,Ж
АРНОЛЬД,1932,67,187203,М
АЛИСА,1932,65,187203,Ж
ИДА,1932,64,187203,Ж
РЕГИНА,1932,63,187203,Ж
ЕФРОСИНЬЯ,1932,62,187203,Ж
АЛИНА,1932,60,187203,Ж
КИРИЛЛ,1932,58,187203,М
АНТОН,1932,57,187203,М
СЕРАФИМ,1932,57,187203,М
АЛЕФТИНА,1932,57,187203,Ж
ДАРЬЯ,1932,56,187203,Ж
ТИМОФЕЙ,1932,56,187203,М
АРТУР,1932,55,187203,М
ОЛИМПИАДА,1932,55,187203,Ж
ЮЛИЙ,1932,53,187203,М
АСЯ,1932,53,187203,Ж
ВЛАДЛЕН,1932,53,187203,М
ДАВИД,1932,52,187203,М
АФАНАСИЙ,1932,52,187203,М
РОСТИСЛАВ,1932,52,187203,М
АНТОНИДА,1932,51,187203,Ж
РУФИНА,1932,51,187203,Ж
ЭЛЛА,1932,50,187203,Ж
БЕЛЛА,1932,48,187203,Ж
ДИАНА,1932,46,187203,Ж
АИДА,1932,45,187203,Ж
АДОЛЬФ,1932,45,187203,М
РИТА,1932,45,187203,Ж
МАРТА,1932,44,187203,Ж
РОЗАЛИЯ,1932,44,187203,Ж
НЭЛЛИ,1932,42,187203,Ж
ОКСАНА,1932,42,187203,Ж
УЛЬЯНА,1932,42,187203,Ж
ГЛАФИРА,1932,41,187203,Ж
МАРФА,1932,40,187203,Ж
ЛУИЗА,1932,40,187203,Ж
МАКСИМ,1932,39,187203,М
КИМ,1932,39,187203,М
АЛЬФРЕД,1932,38,187203,М
ВЛАДИЛЕН,1932,38,187203,М
ГЛЕБ,1932,37,187203,М
НИКИТА,1932,36,187203,М
ИРА,1932,36,187203,Ж
АВГУСТА,1932,35,187203,Ж
МАРИАННА,1932,34,187203,Ж
МИРА,1932,34,187203,Ж
РАВЗА,1932,32,187203,Ж
РАЗИЯ,1932,32,187203,Ж
ОКТЯБРИНА,1932,32,187203,Ж
АЛИЯ,1932,32,187203,Ж
АДА,1932,31,187203,Ж
ИЯ,1932,31,187203,Ж
АЗА,1932,31,187203,Ж
МУЗА,1932,31,187203,Ж
ПРОСКОВЬЯ,1932,31,187203,Ж
ГЕНРИЭТТА,1932,30,187203,Ж
МАТВЕЙ,1932,30,187203,М
КАЛЕРИЯ,1932,30,187203,Ж
ШАМИЛЬ,1932,30,187203,М
ЛЕОНТИЙ,1932,30,187203,М
РАВИЛЬ,1932,29,187203,М
ЛЕНА,1932,29,187203,Ж
МОИСЕЙ,1932,29,187203,М
АСИЯ,1932,29,187203,Ж
РАФИК,1932,29,187203,М
ЛОРА,1932,28,187203,Ж
РИМА,1932,28,187203,Ж
ГЕНРИЕТТА,1932,28,187203,Ж
ВИЛЕН,1932,27,187203,М
АДЕЛЬ,1932,27,187203,Ж
ЛИНА,1932,27,187203,Ж
АГРАФЕНА,1932,27,187203,Ж
ГЕРТРУДА,1932,27,187203,Ж
ИРМА,1932,27,187203,Ж
РАФАИЛ,1932,26,187203,М
ИЗАБЕЛЛА,1932,26,187203,Ж
ЭВЕЛИНА,1932,26,187203,Ж
БРОНИСЛАВ,1932,26,187203,М
НУРИЯ,1932,26,187203,Ж
АНЖЕЛИКА,1932,26,187203,Ж
ПАВЛИНА,1932,25,187203,Ж
РАУЗА,1932,25,187203,Ж
АЛИМПИАДА,1932,25,187203,Ж
РАФАЭЛЬ,1932,25,187203,М
АВГУСТИНА,1932,25,187203,Ж
НЕЛЯ,1932,24,187203,Ж
ЭРИК,1932,24,187203,М
АРИАДНА,1932,24,187203,Ж
АГРИППИНА,1932,24,187203,Ж
РАХИЛЬ,1932,24,187203,Ж
ТАИСЬЯ,1932,24,187203,Ж
АЛЯ,1932,24,187203,Ж
ВЕНЕРА,1932,24,187203,Ж
МАИНА,1932,23,187203,Ж
ФИЛИПП,1932,23,187203,М
РЕНАТА,1932,23,187203,Ж
НАУМ,1932,23,187203,М
ФРИДА,1932,23,187203,Ж
ГЕЛИЙ,1932,23,187203,М
ЯРОСЛАВ,1932,23,187203,М
ЛЕОНАРД,1932,22,187203,М
НЕЛЛЯ,1932,21,187203,Ж
АЭЛИТА,1932,21,187203,Ж
ИСААК,1932,21,187203,М
СТАНИСЛАВА,1932,21,187203,Ж
ИЗОЛЬДА,1932,20,187203,Ж
РАЯ,1932,20,187203,Ж
ЗИНОВИЙ,1932,20,187203,М
ДОРА,1932,20,187203,Ж
РУСЛАН,1932,20,187203,М
ХАЙДАР,1932,20,187203,М
АНИСЬЯ,1932,20,187203,Ж
ЭЛЬВИНА,1932,19,187203,Ж
ДЕНИС,1932,19,187203,М
ФРИДРИХ,1932,19,187203,М
ЭРНЕСТ,1932,19,187203,М
АДЕЛАИДА,1932,19,187203,Ж
КУЗЬМА,1932,19,187203,М
ЛЕОН,1932,19,187203,М
ЭМИЛЬ,1932,19,187203,М
НЕОНИЛА,1932,19,187203,Ж
ФАТИМА,1932,18,187203,Ж
АГАФЬЯ,1932,18,187203,Ж
РАШИТ,1932,18,187203,М
БЕРТА,1932,18,187203,Ж
РАШИДА,1932,18,187203,Ж
АРОН,1932,18,187203,М
ЭЛЬМИРА,1932,18,187203,Ж
ФАНЯ,1932,17,187203,Ж
АЛИ,1932,17,187203,М
ФИРА,1932,17,187203,Ж
МАНСУР,1932,17,187203,М
ИДЕЯ,1932,17,187203,Ж
МИТРОФАН,1932,17,187203,М
АГНИЯ,1932,16,187203,Ж
БРОНИСЛАВА,1932,16,187203,Ж
СЕДА,1932,16,187203,Ж
ЛИЛИАНА,1932,16,187203,Ж
ЯДВИГА,1932,16,187203,Ж
ХАРИС,1932,16,187203,М
КАРЛЕН,1932,16,187203,М
АВЕНИР,1932,15,187203,М
РАШИД,1932,15,187203,М
ГАЛИЯ,1932,15,187203,Ж
ЭСФИРЬ,1932,15,187203,Ж
АДАМ,1932,15,187203,М
ТИХОН,1932,15,187203,М
АБДУЛ,1932,15,187203,М
АРСЕНИЙ,1932,15,187203,М
ВИТОЛЬД,1932,15,187203,М
ФЕДОСЬЯ,1932,15,187203,Ж
СОНЯ,1932,14,187203,Ж
СИМА,1932,14,187203,Ж
ГАРРИ,1932,14,187203,М
АБРАМ,1932,14,187203,М
ГИВИ,1932,14,187203,М
ЕВА,1932,14,187203,Ж
АМИНЯ,1932,14,187203,Ж
ХАЛИДЯ,1932,14,187203,Ж
ГАВРИИЛ,1932,14,187203,М
СУСАННА,1932,13,187203,Ж
РЭМ,1932,13,187203,М
СВЯТОСЛАВ,1932,13,187203,М
ЭРА,1932,13,187203,Ж
АКУЛИНА,1932,13,187203,Ж
НАТА,1932,13,187203,Ж
РУБЕН,1932,13,187203,М
АРТЕМ,1932,13,187203,М
ВАСИЛИСА,1932,13,187203,Ж
ЛИРА,1932,13,187203,Ж
РАЙСЯ,1932,13,187203,Ж
РИВА,1932,13,187203,Ж
АЛЬВИНА,1932,13,187203,Ж
ТАМИЛА,1932,13,187203,Ж
МАКАР,1932,13,187203,М
ИВЕТТА,1932,13,187203,Ж
КАДРИЯ,1932,13,187203,Ж
ЮЛИАН,1932,13,187203,М
НАДИЯ,1932,12,187203,Ж
МУНИР,1932,12,187203,М
ЭДВАРД,1932,12,187203,М
АКСИНЬЯ,1932,12,187203,Ж
ЗЯКИЯ,1932,12,187203,Ж
АГНЕССА,1932,12,187203,Ж
РОЗИЯ,1932,12,187203,Ж
МАРЬЯМ,1932,12,187203,Ж
ДОМНА,1932,12,187203,Ж
ГАВРИЛ,1932,12,187203,М
СТАЛИНА,1932,12,187203,Ж
ДАНИИЛ,1932,12,187203,М
НОРА,1932,12,187203,Ж
СТЕЛЛА,1932,12,187203,Ж
ЛИЛЯ,1932,12,187203,Ж
ЭРНСТ,1932,12,187203,М
ЛЮСЯ,1932,12,187203,Ж
ФАТЫМА,1932,12,187203,Ж
ЭДГАР,1932,11,187203,М
ФАНИЯ,1932,11,187203,Ж
АВГУСТ,1932,11,187203,М
ФЕКЛА,1932,11,187203,Ж
ЯНИНА,1932,11,187203,Ж
